tc0137,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE PARI, COMÉDIE",n.av.,1771,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_PARI
tc0138,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE PETIT MAÎTRE PAR PHILOSOPHIE, PROVERBE",n.av.,1778,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_PETITMAITREPARPHILOSOPHIE
tc0139,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE PETIT POUCET, PROVERBE",n.av.,1771,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_PETITPOUCET
tc0140,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LES PLEUREURS D'HOMÈRE, PROVERBE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_PLEUREURSDHOMERE
tc0141,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LA RECOMMANDATION, COMÉDIE",n.av.,1771,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_RECOMMANDATION
tc0142,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE SEIGNEUR AUTEUR, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_SEIGNEURAUTEUR
tc0143,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE SUISSE DE PORTE ET LE PORTRAIT, COMÉDIE",n.av.,1771,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_SUISSEDEPORTE
tc0144,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle",LA VEUVE AVARE ou À TROMPEUR TROMPEUR ET DEMI COMÉDIE,n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_VEUVEAVARE
tc0145,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LES VOYAGEURS, COMÉDIE",n.av.,1770,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_VOYAGEURS
tc0146,CARRIÈRE-DOISIN A.,"LE CAFÉ LITTÉRAIRE, COMÉDIE ",n.av.,1785,Comédie,moeurs françaises,Un acte,prose,CARRIERE-DOISIN_CAFELITTERAIRE
tc0147,CARRIÈRE-DOISIN A.,"LA JOURNÉE DE TITUS OU LE BON PRINCE, DRAME EN UN ACTE",n.av.,1790,Drame,moeurs françaises,Un acte,prose,CARRIERE-DOISIN_JOURNEEDETITUS
tc0148,"CHABANON, Michel Paul Guy de","EUDOXIE, TRAGÉDIE.",n.av.,1769,Tragédie,histoire romaine,Cinq actes,vers,CHABANON_EUDOXIE
tc0149,"CHABANON, Michel Paul Guy de","LE FAUX NOBLE, COMÉDIE.",n.av.,1788,Comédie,moeurs françaises,Cinq actes,vers,CHABANON_FAUXNOBLE
tc0150,"CHABANON, Michel-Paul-Guy de","LA TOISON D'OR, TRAGÉDIE LYRIQUE, EN QUATRE ACTES ET EN VERS.",n.av.,1788,Tragédie lyrique,mythe grec,Quatre actes,prose,CHABANON_TOISONDOR
tc0151,"CHAMFORT, Sébatien-Roch-Nicolas de ",LA JEUNE INDIENNE,1764,1764,Comédie,moeurs américaines,Un acte,vers,CHAMFORT_LAJEUNEINDIENNE
tc0152,"CHAMFORT, Sébatien-Roch-Nicolas de ","MUSTAPHA et ZÉANGIR, TRAGÉDIE",1777,1777,Tragédie,moeurs ottomanes,Cinq actes,vers,CHAMFORT_MUSTAPHAZEANGIR
tc0153,"CHAMPMÉSLÉ, Charles Chevillet dit","LA COUPE ENCHANTÉE, COMÉDIE",n.av.,1710,Comédie,moeurs françaises,Un acte,vers,CHAMPMESLE_COUPEENCHANTEE
tc0154,"CHAMPMESLÉ, Charles Chevillet dit",LES FRAGMENTS DE MOLIÈRE.,n.av.,1682,Comédie,moeurs françaises,Deux actes,prose,CHAMPMESLE_FRAGMENTSDEMOLIERE
tc0155,CHAZET et DUBOIS,"MOLIÈRE CHEZ NINON OU LA LECTURE DE TARTUFFE, COMÉDIE EN UN ACTE ET EN VERS",n.av.,1802,Comédie,moeurs françaises,Un acte,vers,CHAZETDUBOIS_MOLIERECHEZNINON
tc0156,"CHAZET, DUPATY","ARLEQUIN JOURNALISTE, COMÉDIE",n.av.,1797,Comédie,moeurs françaises,Un acte,mixte,CHAZETDUPATY_ARLEQUINJOURNALISTE
tc0157,CHAZET et GASSICOURT,"FINOT, OU L'ANCIEN PORTIER DE M. DE BIÈVRE, PROVERBE ARCHI-BÊTE, EN UN ACTE.",n.av.,1798,Proverbe,moeurs françaises,Un acte,prose,CHAZETGASSICOURT_FINOT
tc0158,"CHEVALIER, Jean Simonin dit","LES AMOURS DE CALOTINS, COMÉDIE",1664,1664,Comédie,moeurs françaises,Trois actes,vers,CHEVALIER_AMOURSDECALOTIN
tc0159,"CHEVREAU, Urbain","L'AVOCAT DUPÉ, COMÉDIE",n.av.,1637,Comédie,moeurs françaises,Cinq actes,vers,CHEVREAU_AVOCATDUPE
tc0160,"COLARDEAU, Charles-Pierre","ASTARBÉ, TRAGÉDIE",n.av.,1758,Tragédie,histoire romaine,Cinq actes,vers,COLARDEAU_ASTARBE
tc0161,"COLLE, Charles","COCATRIX, TRAGÉDIE AMPHIGOURIQUE.",1697,1777,Comédie,moeurs orientales,Un acte,vers,COLLE_COCATRIX
tc0162,"COLLEVILLE, Anne Hyacinthe Geille de Saint-Léger","SOPHIE ET DERVILLE, COMÉDIE.",n.av.,1788,Comédie,moeurs françaises,Un acte,prose,COLLEVILLE_SOPHIEDERVILLE
tc0163,"CORNEILLE, Pierre","AGÉSILAS, TRAGÉDIE",n.av.,1666,Tragédie,histoire grecque,Cinq actes,vers,CORNEILLEP_AGESILAS
tc0164,"CORNEILLE, Pierre","ANDROMEDE, TRAGÉDIE.",n.av.,1651,Tragédie,mythe grec,"Cinq actes, un prologue",vers,CORNEILLEP_ANDROMEDE
tc0165,"CORNEILLE, Pierre","ATTILA, ROI DES HUNS, TRAGÉDIE",1667,1668,Tragédie,histoire médiévale,Cinq actes,vers,CORNEILLEP_ATTILA
tc0166,"CORNEILLE, Pierre","LE CID, TRAGÉDIE",n.av.,1682,Tragédie,histoire espagnole,Cinq actes,vers,CORNEILLEP_CID
tc0167,"CORNEILLE, Pierre","LE CID, TRAGI-COMÉDIE",n.av.,1637,Tragi-comédie,histoire espagnole,Cinq actes,vers,CORNEILLEP_CID37
tc0168,"CORNEILLE, Pierre","CINNA ou LA CLÉMENCE D'AUGUSTE, TRAGÉDIE",n.av.,1682,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_CINNA
tc0169,"CORNEILLE, Pierre","CINNA ou LA CLÉMENCE D'AUGUSTE, TRAGÉDIE",n.av.,1643,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_CINNA43
tc0170,"CORNEILLE, Pierre","CLITANDRE, COMÉDIE",1631,1682,Tragédie,histoire écossaise,Cinq actes,vers,CORNEILLEP_CLITANDRE
tc0171,"CORNEILLE, Pierre","DON SANCHE D'ARAGON, COMÉDIE HÉROÏQUE",1649,1649,Comédie héroïque,moeurs espagnoles,Cinq actes,vers,CORNEILLEP_DONSANCHE
tc0172,"CORNEILLE, Pierre",LA GALERIE DU PALAIS ou L'AMIE RIVALE,1633,1637,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLEP_GALERIEDUPALAIS
tc0173,"CORNEILLE, Pierre","HÉRACLIUS, EMPEREUR D'ORIENT, TRAGÉDIE",n.av.,1647,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_HERACLIUS
tc0174,"CORNEILLE, Pierre","HORACE, TRAGÉDIE",n.av.,1641,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_HORACE
tc0175,"CORNEILLE, Pierre","L'ILLUSION COMIQUE, COMÉDIE",1636,1639,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLEP_ILLUSIONCOMIQUE
tc0176,"CORNEILLE, Pierre","MÉDÉE, TRAGÉDIE",1634,1682,Tragédie,mythe grec,Cinq actes,vers,CORNEILLEP_MEDEE
tc0177,"CORNEILLE, Pierre","MÉDÉE, TRAGÉDIE",n.av.,1639,Tragédie,mythe grec,Cinq actes,vers,CORNEILLEP_MEDEE39
tc0178,"CORNEILLE, Pierre","MÉLITE, COMÉDIE",1630,1682,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLEP_MELITE
tc0179,"CORNEILLE, Pierre","LE MENTEUR, COMÉDIE",1644,1644,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLEP_MENTEUR
tc0180,"CORNEILLE, Pierre","LA MORT DE POMPÉE, TRAGÉDIE",1643,1644,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_MORTPOMPEE
tc0181,"CORNEILLE, Pierre","NICOMÈDE, TRAGÉDIE",1651,1651,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_NICOMEDE
tc0182,"CORNEILLE, Pierre","OEDIPE, TRAGÉDIE",n.av.,1659,Tragédie,mythe grec,Cinq actes,vers,CORNEILLEP_OEDIPE
tc0183,"CORNEILLE, Pierre","OTHON, TRAGÉDIE",n.av.,1665,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_OTHON
tc0184,"CORNEILLE, Pierre","PERTHARITE ROI DES LOMBARDS, TRAGÉDIE",1653,1653,Tragédie,histoire médiévale,Cinq actes,vers,CORNEILLEP_PERTHARITE
tc0185,"CORNEILLE, Pierre","LA PLACE ROYALE ou L'AMOUREUX EXTRAVAGANT, COMÉDIE",1634,1637,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLEP_PLACEROYALE
tc0186,"CORNEILLE, Pierre","POLYEUCTE MARTYR, TRAGÉDIE",1643,1643,Tragédie,histoire chrétienne,Cinq actes,vers,CORNEILLEP_POLYEUCTE
tc0187,"CORNEILLE, Pierre","PULCHÉRIE, COMÉDIE HÉROÏQUE",n.av.,1673,Comédie héroïque,histoire chrétienne,Cinq actes,vers,CORNEILLEP_PULCHERIE
tc0188,"CORNEILLE, Pierre","RODOGUNE, TRAGÉDIE",n.av.,1647,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_RODOGUNE
tc0189,"CORNEILLE, Pierre","SERTORIUS, TRAGÉDIE",1662,1662,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_SERTORIUS
tc0190,"CORNEILLE, Pierre","SOPHONISBE, TRAGÉDIE",1663,1663,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLEP_SOPHONISBE
tc0191,"CORNEILLE, Pierre","LA SUITE DU MENTEUR, COMÉDIE",1645,1645,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLEP_SUITEMENTEUR
tc0192,"CORNEILLE, Pierre","LA SUIVANTE, COMÉDIE",1634,1634,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLEP_SUIVANTE
tc0193,"CORNEILLE, Pierre","SURENA GÉNERAL DES PARTHES, TRAGÉDIE",1674,1675,Tragédie,histoire orientale,Cinq actes,vers,CORNEILLEP_SURENA
tc0194,"CORNEILLE, Pierre","THÉODORE, VIERGE ET MARTYRE, TRAGÉDIE CHRÉTIENNE",1645,1646,Tragédie,histoire chrétienne,Cinq actes,vers,CORNEILLEP_THEODORE
tc0195,"CORNEILLE, Pierre","TITE ET BÉRÉNICE, COMÉDIE HEROÏQUE",n.av.,1671,Comédie héroïque,histoire romaine,Cinq actes,vers,CORNEILLEP_TITE
tc0196,"CORNEILLE, Pierre","LA CONQUÊTE DE LA TOISON D'OR, TRAGÉDIE",n.av.,1661,Tragédie,mythe grec,"Cinq actes, un prologue",vers,CORNEILLEP_TOISON
tc0197,"CORNEILLE, Pierre","LA VEUVE, COMÉDIE",1631,1682,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLEP_VEUVE
tc0198,"CORNEILLE, Pierre","LA VEUVE OU LE TRAÎTRE TRAHI, COMÉDIE",1631,1634,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLEP_VEUVE34
tc0199,"CORNEILLE, Thomas","L'AMOUR À LA MODE, COMÉDIE. ",n.av.,1651,Comédie,moeurs espagnoles,Cinq actes,vers,CORNEILLET_AMOURALAMODE
tc0200,"CORNEILLE, Thomas","ARIANE, TRAGÉDIE",1672,1672,Tragédie,mythe grec,Cinq actes,vers,CORNEILLET_ARIANE
tc0201,"CORNEILLE, Thomas","BÉRÉNICE, TRAGÉDIE.",n.av.,1709,Tragédie,histoire grecque,Cinq actes,vers,CORNEILLET_BERENICE
tc0202,"CORNEILLE, Thomas","LE BERGER EXTRAVAGANT, PASTORALE BURLESQUE.",1652,1652,Pastorale,pastorale,Cinq actes,vers,CORNEILLET_BERGEREXTRAVAGANT
tc0203,"CORNEILLE, Thomas","BRADAMANTE, TRAGÉDIE",1695,1695,Tragédie,histoire française,Cinq actes,vers,CORNEILLET_BRADAMANTE
tc0204,"CORNEILLE, Thomas","CAMMA, REINE DE GALATIE, TRAGÉDIE",1661,1661,Tragédie,mythe grec,Cinq actes,vers,CORNEILLET_CAMMA
tc0205,"CORNEILLE, Thomas","LE CHARME DE LA VOIX, COMÉDIE",n.av.,1658,Comédie,moeurs italiennes,Cinq actes,vers,CORNEILLET_CHARMEDELAVOIX
tc0206,"CORNEILLE, Thomas","CIRCÉ, TRAGÉDIE",1677,1677,Tragédie,mythe grec,"Cinq actes, un prologue",vers,CORNEILLET_CIRCE
tc0207,"CORNEILLE, Thomas","LE COMTE d'ESSEX, TRAGÉDIE",1678,1678,Tragédie,histoire anglaise,Cinq actes,vers,CORNEILLET_COMTEDESSEX
tc0208,"CORNEILLE, Thomas","LA COMTESSE D'ORGUEIL, COMÉDIE",1653,1690,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLET_COMTESSEORGUEIL
tc0209,"CORNEILLE, Thomas","DARIUS, TRAGÉDIE",1659,1659,Tragédie,histoire persane,Cinq actes,vers,CORNEILLET_DARIUS
tc0210,"CORNEILLE, Thomas","DON BERTRAN  DE CIGARRAL, COMÉDIE",1651,1709,Comédie,moeurs espagnoles,Cinq actes,vers,CORNEILLET_DOMBERTRANDECIGARRAL
tc0211,"CORNEILLE, Thomas","DON CÉSAR D'AVALOS, COMÉDIE.",1661,1661,Comédie,moeurs espagnoles,Cinq actes,vers,CORNEILLET_DOMCESARDAVALOS
tc0212,"CORNEILLE, Thomas","LES ENGAGEMENTS DU HASARD, COMÉDIE.",1649,1662,Tragédie,histoire anglaise,Cinq actes,vers,CORNEILLET_ENGAGEMENTSDUHASARD
tc0213,"CORNEILLE, Thomas","LE FEINT ASTROLOGUE, COMÉDIE",1636,1651,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLET_FEINTASTROLOGUE
tc0214,"CORNEILLE, Thomas","LE FESTIN DE PIERRE, COMÉDIE",1677,1677,Comédie,moeurs espagnoles,Cinq actes,vers,CORNEILLET_FESTINPIERRE
tc0215,"CORNEILLE, Thomas","LE GALANT DOUBLÉ, COMÉDIE. ",1659,1659,Comédie,moeurs espagnoles,Cinq actes,vers,CORNEILLET_GALANTDOUBLE
tc0216,"CORNEILLE, Thomas","LE GEÔLIER DE SOI-MÊME, COMÉDIE.",1695,1655,Comédie,moeurs italiennes,Cinq actes,vers,CORNEILLET_GEOLIERDESOISMEME
tc0217,"CORNEILLE, Thomas","LES ILLUSTRES ENNEMIS, COMÉDIE",1657,1657,Comédie,moeurs espagnoles,Cinq actes,vers,CORNEILLET_ILLUSTRESENNEMIS
tc0218,"CORNEILLE, Thomas","L'INCONNU, COMÉDIE.",1675,1675,Comédie,moeurs françaises,Cinq actes,vers,CORNEILLET_INCONNU
tc0219,"CORNEILLE, Thomas","MAXIMIAN, TRAGÉDIE",1662,1662,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLET_MAXIMIAN
tc0220,"CORNEILLE, Thomas","MÉDÉE, TRAGÉDIE EN MUSIQUE",n.av.,1693,Opéra,mythe grec,Cinq actes,vers,CORNEILLET_MEDEE
tc0221,"CORNEILLE, Thomas","LA MORT D'ANNIBAL, TRAGÉDIE",1669,1669,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLET_MORTANNIBAL
tc0222,"CORNEILLE, Thomas","LA MORT D'ACHILLE, TRAGÉDIE",1673,1673,Tragédie,mythe grec,Cinq actes,vers,CORNEILLET_MORTDACHILLE
tc0223,"CORNEILLE, Thomas","LA MORT DE L'EMPEREUR COMMODE, TRAGÉDIE",1657,1657,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLET_MORTEMPEREURCOMMODE
tc0224,"CORNEILLE, Thomas","PERSÉE ET DÉMÉTRIUS, TRAGÉDIE.",n.av.,1662,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLET_PERSEEDEMETRIUS
tc0225,"CORNEILLE, Thomas","PYRRHUS, ROI d'ÉPIRE, TRAGÉDIE.",n.av.,1661,Tragédie,mythe grec,Cinq actes,vers,CORNEILLET_PYRRHUS
tc0226,"CORNEILLE, Thomas","STILICON, TRAGÉDIE",1660,1664,Tragédie,histoire romaine,Cinq actes,vers,CORNEILLET_STLICON
tc0227,"CORNEILLE, Thomas","THÉODAT, TRAGÉDIE",n.av.,1673,Tragédie,histoire médiévale,Cinq actes,vers,CORNEILLET_THEODAT
tc0228,"CORNEILLE, Thomas","TIMOCRATE, TRAGÉDIE",1662,1662,Tragédie,histoire grecque,Cinq actes,vers,CORNEILLET_TIMOCRATE
tc0229,"COUPIGNY, André-François de",ARLEQUIN JALOUX,1677,1797,Comédie,moeurs françaises,Un acte,prose,COUPIGNY_ARLEQUINJALOUX
tc0230,"COUPIGNY, BARRÉ, PIIS, RADET, DESFONTAINES",HOMMAGE DU PETIT VAUDEVILLE AU GRAND RACINE. ,n.av.,1798,Vaudeville,Fantaisie,Un acte,mixte,COUPIGNYBARREPIISDESFONTAINES_HOMMAGERACINE
tc0231,"CRÉBILLON, Prosper J. de","ATRÉE et THYESTE, TRAGÉDIE.",1707,1707,Tragédie,mythe grec,Cinq actes,vers,CREBILLON_ATREETHYESTE
tc0232,"CRÉBILLON, Prosper J. de","CATILINA, TRAGÉDIE",1749,1749,Tragédie,histoire romaine,Cinq actes,vers,CREBILLON_CATILINA
tc0233,"CRÉBILLON, Prosper J. de","ÉLECTRE, TRAGÉDIE",1708,1709,Tragédie,mythe grec,Cinq actes,vers,CREBILLON_ELECTRE
tc0234,"CRÉBILLON, Prosper J. de","IDOMÉNÉE, TRAGÉDIE.",1703,1703,Tragédie,histoire grecque,Cinq actes,vers,CREBILLON_IDOMENEE
tc0235,"CRÉBILLON, Prosper J. de","PYRRHUS, TRAGÉDIE",1708,1726,Tragédie,mythe grec,Cinq actes,vers,CREBILLON_PYRRHUS
tc0236,"CRÉBILLON, Prosper J. de","RHADAMISTHE et ZÉNOBIE, TRAGÉDIE",1711,1711,Tragédie,histoire romaine,Cinq actes,vers,CREBILLON_RHADAMISTHE
tc0237,"CRÉBILLON, Prosper J. de","LE TRIUMVIRAT ou LA MORT DE CICÉRON, TRAGÉDIE",1754,1754,Tragédie,histoire romaine,Cinq actes,vers,CREBILLON_TRIUMVIRAT
tc0238,"CRÉBILLON, Prosper J. de","XERCÈS, TRAGÉDIE",1749,1749,Tragédie,histoire perse,Cinq actes,vers,CREBILLON_XERXES
tc0239,"CRÉBILLON, Claude-Prosper Jolyot de, fils","LA NUIT ET LE MOMENT ou LES MATINES DE CYTHÈRE, DIALOGUE",n.av.,1755,Dialogue,moeurs françaises,Un acte,prose,CREBILLONF_NUITETLEMOMENT
tc0240,"CUBIÈRES-PALMÉZEAUX, Michel de",LES BRACELETS.,n.av.,1775,Comédie,moeurs françaises,Un acte,prose,CUBIERES-PALMEZEAUX_BRACELETS
tc0241,"CUBIÈRES-PALMÉZEAUX, Michel de",DIALOGUE ENTRE L'AUTEUR ET UN HOMME DE GOÊT,n.av.,1786,Dialogue,moeurs françaises,Un acte,prose,CUBIERES-PALMEZEAUX_DIALOGUE
tc0242,"CUBIÈRES-PALMÉZEAUX, Michel de","LA DILIGENCE DE LYON, COMÉDIE",n.av.,1786,Comédie,moeurs françaises,Trois actes,prose,CUBIERES-PALMEZEAUX_DILIGENCEDELYON
tc0243,"CUBIÈRES-PALMÉZEAUX, Michel de","LA FÊTE SÉCULAIRE DE CORNEILLE, TRAGÉDIE.",n.av.,1785,Apologie,mythe grec,Cinq actes,vers,CUBIERES-PALMEZEAUX_FETESECULAIRECORNEILLE
tc0244,"CUBIÈRES-PALMÉZEAUX, Michel de","GALATHÉE, COMÉDIE",n.av.,1777,Comédie,mythe grec,Un acte,vers,CUBIERES-PALMEZEAUX_GALATHEE
tc0245,"CUBIÈRES-PALMÉZEAUX, Michel de","LA LACRYMANIE, PIÈCE EN TROIS ACTES, EN VERS.",n.av.,1775,Comédie,moeurs françaises,Trois actes,vers,CUBIERES-PALMEZEAUX_LACRYMANIE
tc0246,"CUBIÈRES-PALMÉZEAUX, Michel de","LA MORT DE MOLIÈRE, PIÈCE EN TROIS ACTES, EN VERS.",n.av.,1788,Comédie,moeurs françaises,Trois actes,vers,CUBIERES-PALMEZEAUX_MORTDEMOLIERE3A
tc0247,"CUBIÈRES-PALMÉZEAUX, Michel de","LA MORT DE MOLIÈRE, PIÈCE EN QUATRE ACTES, EN VERS.",n.av.,1802,Comédie,moeurs françaises,Quatre actes,vers,CUBIERES-PALMEZEAUX_MORTDEMOLIERE4A
tc0248,"CUBIÈRES-PALMÉZEAUX, Michel de","ORESTE ET LES FURIES, MÉLODRAME",n.av.,1786,Mélodrame,mythe grec,Un acte,prose,CUBIERES-PALMEZEAUX_ORESTE
tc0249,"CYRANO, Hercule Savinien, dit CYRANO de BERGERAC","LA MORT D'AGRIPPINE, veuve de GERMANICUS, TRAGÉDIE.",n.av.,1654,Tragédie,histoire romaine,Cinq actes,vers,CYRANO_LAMORTDAGRIPPINE
tc0250,"CYRANO, Hercule Savinien, dit CYRANO de BERGERAC","LE PÉDANT JOUÉ, COMÉDIE.",n.av.,1654,Comédie,moeurs françaises,Cinq actes,prose,CYRANO_PEDANTJOUE
tc0251,"DALIBRAY, Charles Vion de","SOLIMAN, TRAGI-COMÉDIE",n.av.,1768,Tragi-comédie,moeurs françaises,Un acte,mixte,DALIBRAY_SOLIMAN
tc0252,"DANCOURT, Florent CARTON dit","LES AGIOTEURS, COMÉDIE",n.av.,1710,Comédie,moeurs françaises,Trois actes,prose,DANCOURT_AGIOTEURS
tc0253,"DANCOURT, Florent Carton dit","NOUVEAU PROLOGUE, ET NOUVEAUX DIVERTISSEMENTS POUR LA COMÉDIE DES AMANTS MAGNIFIQUES",1699,1704,Comédie,mythe grec,Deux actes,vers,DANCOURT_AMANTS
tc0254,"DANCOURT, Florent Carton dit","LE BON SOLDAT , COMÉDIE",1699,1718,Comédie,moeurs françaises,Un acte,vers,DANCOURT_BONSOLDAT
tc0255,"DANCOURT, Florent CARTON dit","LES BOURGEOISES À LA MODE, COMÉDIE",n.av.,1692,Comédie,moeurs françaises,Cinq actes,prose,DANCOURT_BOURGEOISESALAMODE
tc0256,"DANCOURT, Florent CARTON dit","CÉPHALE ET PROCRIS, COMÉDIE",n.av.,1711,Comédie,moeurs françaises,Cinq actes,mixte,DANCOURT_CEPHALEPROCRIS
tc0257,"DANCOURT, Florent Carton dit","LE CHARIVARI, COMÉDIE",1699,1697,Comédie,moeurs françaises,Un acte,prose,DANCOURT_CHARIVARI
tc0258,"DANCOURT, Florent CARTON dit","LE CHEVALIER À LA MODE, COMÉDIE",n.av.,1687,Comédie,moeurs françaises,Un acte,prose,DANCOURT_CHEVALIERALAMODE
tc0259,"DANCOURT, Florent CARTON dit","COLIN-MAILLARD, COMÉDIE",n.av.,1701,Comédie,moeurs françaises,Un acte,prose,DANCOURT_COLIN-MAILLARD
tc0260,"DANCOURT, Florent CARTON dit","LA COMÉDIE DES COMÉDIENS, COMÉDIE",n.av.,1710,Comédie,moeurs françaises,Cinq actes,mixte,DANCOURT_COMEDIECOMEDIENS
tc0261,"DANCOURT, Florent CARTON dit","LES CURIEUX DE COMPIÈGNE, COMÉDIE",n.av.,1698,Comédie,moeurs françaises,Un acte,prose,DANCOURT_CURIEUX
tc0262,"DANCOURT, Florent Carton dit","LA DÉROUTE DU PHARAON, COMÉDIE",n.av.,1693,Comédie,moeurs françaises,Un acte,prose,DANCOURT_DEROUTEPHARAON
tc0263,"DANCOURT, Florent CARTON dit","LA DÉSOLATION DES JOUEUSES, COMÉDIE EN UN ACTE",n.av.,1687,Comédie,moeurs françaises,Un acte,prose,DANCOURT_DESOLATIONDESJOUEUSES
tc0264,"DANCOURT, Florent CARTON dit","LE DIABLE BOITEUX, COMÉDIE",n.av.,1707,Comédie,moeurs françaises,"Un acte, un prologue",prose,DANCOURT_DIABLEBOITEUX
tc0265,"DANCOURT, Florent CARTON dit","SECOND CHAPITRE DU DIABLE BOITEUX, COMÉDIE",n.av.,1707,Comédie,moeurs françaises,"Deux actes, un prologue",prose,DANCOURT_DIABLEBOITEUXSUITE
tc0266,"DANCOURT, Florent CARTON dit","DIVERTISSEMENT DE SCEAUX, COMÉDIE-BALLET",n.av.,1705,Comédie-ballet,bergerie,Un acte,vers,DANCOURT_DIVERTISSEMENTDESCEAUX
tc0267,"DANCOURT, Florent Carton dit","LES EAUX DE BOURBON, COMÉDIE",1699,1697,Comédie,moeurs françaises,Un acte,prose,DANCOURT_EAUXDEBOURBON
tc0268,"DANCOURT, Florent CARTON dit","LES ENFANTS DE PARIS, COMÉDIE",n.av.,1699,Comédie,moeurs françaises,Cinq actes,vers,DANCOURT_ENFANTSDEPARIS
tc0269,"DANCOURT, Florent CARTON dit","L'ÉTÉ DES COQUETTES A LA MODE, COMÉDIE",n.av.,1690,Comédie,moeurs françaises,Un acte,prose,DANCOURT_ETEDESCOQUETTES
tc0270,"DANCOURT, Florent CARTON dit","LES FÉES, COMÉDIE",n.av.,1699,Comédie,féérie,Trois actes,mixte,DANCOURT_FEES
tc0271,"DANCOURT, Florent CARTON dit","LA FEMME D'INTRIGUES, COMÉDIE",n.av.,1692,Comédie,moeurs françaises,Cinq actes,prose,DANCOURT_FEMMEDINTRIGUES
tc0272,"DANCOURT, Florent CARTON dit","LA FÊTE DE VILLAGE, COMÉDIE.",n.av.,1700,Comédie,moeurs françaises,Trois actes,prose,DANCOURT_FETEDEVILLAGE
tc0273,"DANCOURT, Florent CARTON dit","LES FÊTES NOCTUNES DU COURS, COMÉDIE",n.av.,1714,Comédie,moeurs françaises,Un acte,mixte,DANCOURT_FETESNOCTURNES
tc0274,"DANCOURT, Florent CARTON dit","LA FOIRE DE BESONS, COMÉDIE.",n.av.,1694,Comédie,moeurs françaises,Un acte,mixte,DANCOURT_FOIREDEBESONS
tc0275,"DANCOURT, Florent CARTON dit","LA FOIRE SAINT GERMAIN, COMÉDIE",n.av.,1697,Comédie,moeurs françaises,Un acte,prose,DANCOURT_FOIRESAINTGERMAIN
tc0276,"DANCOURT, Florent CARTON dit","LA FOLLE ENCHÈRE, COMÉDIE",n.av.,1690,Comédie,moeurs françaises,Un acte,prose,DANCOURT_FOLLEENCHERE
tc0277,"DANCOURT, Florent CARTON dit","LES FONDS PERDUS, COMÉDIE EN TROIS ACTES",n.av.,1686,Comédie,moeurs françaises,Trois actes,prose,DANCOURT_FONDSPERDUS
tc0278,"DANCOURT, Florent CARTON dit","LE GALANT JARDINIER, COMÉDIE",n.av.,1704,Comédie,moeurs françaises,Un acte,prose,DANCOURT_GALANTJARDINIER
tc0279,"DANCOURT, Florent Carton dit","LA GAZETTE, COMÉDIE",1699,1693,Comédie,moeurs françaises,Un acte,prose,DANCOURT_GAZETTE
